
# Data      [ Total No. = 4001 ]
  <2Theta>   <   I   >
    10.0000        24
    10.0200        18
    10.0400        22
    10.0600        28
    10.0800        24
    10.1000        16
    10.1200        20
    10.1400        24
    10.1600        20
    10.1800        26
    10.2000        16
    10.2200        10
    10.2400        22
    10.2600        18
    10.2800        10
    10.3000        14
    10.3200        20
    10.3400        12
    10.3600        24
    10.3800        16
    10.4000        14
    10.4200        14
    10.4400        16
    10.4600        18
    10.4800        22
    10.5000        14
    10.5200        10
    10.5400        20
    10.5600        16
    10.5800        20
    10.6000        22
    10.6200        16
    10.6400        14
    10.6600        18
    10.6800        22
    10.7000        16
    10.7200        10
    10.7400        22
    10.7600        14
    10.7800        18
    10.8000        12
    10.8200        26
    10.8400        26
    10.8600        18
    10.8800        22
    10.9000        16
    10.9200        18
    10.9400        16
    10.9600        22
    10.9800        20
    11.0000        12
    11.0200         6
    11.0400        20
    11.0600        24
    11.0800        18
    11.1000        26
    11.1200        16
    11.1400        18
    11.1600        16
    11.1800        20
    11.2000        16
    11.2200        16
    11.2400        16
    11.2600        14
    11.2800        22
    11.3000        20
    11.3200        16
    11.3400        18
    11.3600        20
    11.3800        14
    11.4000        18
    11.4200        18
    11.4400        18
    11.4600        24
    11.4800        14
    11.5000        20
    11.5200        10
    11.5400        20
    11.5600        14
    11.5800        20
    11.6000        18
    11.6200        22
    11.6400        14
    11.6600        16
    11.6800        16
    11.7000        16
    11.7200        14
    11.7400        18
    11.7600        24
    11.7800        14
    11.8000        24
    11.8200        10
    11.8400        10
    11.8600        18
    11.8800        12
    11.9000        14
    11.9200        14
    11.9400        18
    11.9600        10
    11.9800        22
    12.0000        18
    12.0200        26
    12.0400        18
    12.0600        18
    12.0800        22
    12.1000        16
    12.1200        12
    12.1400        14
    12.1600        20
    12.1800        18
    12.2000        16
    12.2200        14
    12.2400        14
    12.2600        16
    12.2800        18
    12.3000        16
    12.3200        14
    12.3400        14
    12.3600        14
    12.3800        18
    12.4000        20
    12.4200        20
    12.4400        20
    12.4600        16
    12.4800        16
    12.5000        20
    12.5200        12
    12.5400        12
    12.5600        16
    12.5800        16
    12.6000        12
    12.6200        10
    12.6400        18
    12.6600        16
    12.6800        14
    12.7000        18
    12.7200        12
    12.7400        18
    12.7600        20
    12.7800        14
    12.8000        10
    12.8200        18
    12.8400        20
    12.8600        20
    12.8800        14
    12.9000        16
    12.9200        20
    12.9400        18
    12.9600        14
    12.9800        14
    13.0000        24
    13.0200        22
    13.0400        16
    13.0600        12
    13.0800        14
    13.1000        20
    13.1200        14
    13.1400        18
    13.1600        30
    13.1800         8
    13.2000        14
    13.2200        12
    13.2400        12
    13.2600        16
    13.2800        16
    13.3000        16
    13.3200        16
    13.3400        16
    13.3600        16
    13.3800        20
    13.4000        14
    13.4200        12
    13.4400        24
    13.4600         8
    13.4800        14
    13.5000        10
    13.5200        18
    13.5400        12
    13.5600        16
    13.5800        18
    13.6000        18
    13.6200        14
    13.6400        12
    13.6600        12
    13.6800        14
    13.7000        18
    13.7200        16
    13.7400        22
    13.7600        14
    13.7800        10
    13.8000        10
    13.8200        12
    13.8400        16
    13.8600        16
    13.8800        16
    13.9000        12
    13.9200        12
    13.9400        22
    13.9600        12
    13.9800        14
    14.0000        12
    14.0200        14
    14.0400        18
    14.0600         8
    14.0800        14
    14.1000        14
    14.1200        12
    14.1400        14
    14.1600         8
    14.1800        16
    14.2000         8
    14.2200        12
    14.2400        14
    14.2600        18
    14.2800        12
    14.3000        18
    14.3200        16
    14.3400        12
    14.3600        14
    14.3800        14
    14.4000        18
    14.4200         8
    14.4400         8
    14.4600        10
    14.4800        14
    14.5000        10
    14.5200        20
    14.5400        16
    14.5600        14
    14.5800        12
    14.6000        10
    14.6200        16
    14.6400        22
    14.6600        12
    14.6800        18
    14.7000        12
    14.7200         8
    14.7400        12
    14.7600        14
    14.7800        14
    14.8000        18
    14.8200        16
    14.8400        14
    14.8600        16
    14.8800        10
    14.9000         8
    14.9200         8
    14.9400        10
    14.9600        14
    14.9800         8
    15.0000        18
    15.0200        18
    15.0400        10
    15.0600         8
    15.0800        16
    15.1000        14
    15.1200        20
    15.1400        16
    15.1600        12
    15.1800        16
    15.2000        16
    15.2200        10
    15.2400         6
    15.2600        10
    15.2800        16
    15.3000        12
    15.3200        10
    15.3400        10
    15.3600        16
    15.3800        12
    15.4000        12
    15.4200        16
    15.4400        16
    15.4600        14
    15.4800        16
    15.5000        22
    15.5200        16
    15.5400        20
    15.5600        16
    15.5800        14
    15.6000         8
    15.6200        10
    15.6400        14
    15.6600        12
    15.6800        14
    15.7000         6
    15.7200        24
    15.7400        18
    15.7600        14
    15.7800        12
    15.8000        14
    15.8200        18
    15.8400        20
    15.8600        12
    15.8800        18
    15.9000        10
    15.9200        14
    15.9400        16
    15.9600         8
    15.9800         8
    16.0000        14
    16.0200        10
    16.0400        12
    16.0600         6
    16.0800        12
    16.1000        20
    16.1200        14
    16.1400        12
    16.1600        16
    16.1800        18
    16.2000         8
    16.2200        16
    16.2400        16
    16.2600        10
    16.2800        10
    16.3000        10
    16.3200        18
    16.3400        20
    16.3600        10
    16.3800        16
    16.4000         8
    16.4200         8
    16.4400        12
    16.4600        12
    16.4800        16
    16.5000        10
    16.5200        10
    16.5400        10
    16.5600        16
    16.5800         4
    16.6000        12
    16.6200        16
    16.6400        16
    16.6600        12
    16.6800        10
    16.7000        18
    16.7200        14
    16.7400        10
    16.7600        16
    16.7800        12
    16.8000        10
    16.8200        18
    16.8400         8
    16.8600         8
    16.8800        12
    16.9000        16
    16.9200        12
    16.9400        12
    16.9600        16
    16.9800        16
    17.0000         8
    17.0200        12
    17.0400        12
    17.0600        22
    17.0800        12
    17.1000        12
    17.1200         8
    17.1400        12
    17.1600        14
    17.1800        10
    17.2000        14
    17.2200        12
    17.2400        18
    17.2600        14
    17.2800         8
    17.3000        12
    17.3200         8
    17.3400        12
    17.3600         8
    17.3800        16
    17.4000        10
    17.4200        14
    17.4400         8
    17.4600         8
    17.4800         6
    17.5000        14
    17.5200         8
    17.5400         8
    17.5600        16
    17.5800        10
    17.6000        12
    17.6200        16
    17.6400        12
    17.6600        12
    17.6800        10
    17.7000        16
    17.7200         8
    17.7400        18
    17.7600        22
    17.7800        14
    17.8000        10
    17.8200        10
    17.8400        14
    17.8600        18
    17.8800        12
    17.9000         6
    17.9200        14
    17.9400        10
    17.9600        14
    17.9800        22
    18.0000        20
    18.0200        12
    18.0400         8
    18.0600        12
    18.0800        10
    18.1000        14
    18.1200        14
    18.1400        10
    18.1600        12
    18.1800         8
    18.2000        16
    18.2200        16
    18.2400        14
    18.2600        16
    18.2800        10
    18.3000        18
    18.3200        10
    18.3400        14
    18.3600        12
    18.3800        12
    18.4000        22
    18.4200        14
    18.4400        12
    18.4600        14
    18.4800        10
    18.5000        12
    18.5200        14
    18.5400        18
    18.5600        16
    18.5800        16
    18.6000        22
    18.6200        14
    18.6400        14
    18.6600        16
    18.6800        16
    18.7000        24
    18.7200        12
    18.7400        12
    18.7600        16
    18.7800        16
    18.8000        20
    18.8200        14
    18.8400        14
    18.8600        10
    18.8800        14
    18.9000        14
    18.9200        14
    18.9400        16
    18.9600        14
    18.9800        16
    19.0000        10
    19.0200        26
    19.0400        26
    19.0600        14
    19.0800        14
    19.1000        16
    19.1200        22
    19.1400        10
    19.1600        10
    19.1800        16
    19.2000        12
    19.2200        10
    19.2400        20
    19.2600        18
    19.2800        12
    19.3000        20
    19.3200        16
    19.3400        22
    19.3600        18
    19.3800        16
    19.4000        16
    19.4200        18
    19.4400        12
    19.4600        16
    19.4800        20
    19.5000        18
    19.5200        20
    19.5400        22
    19.5600        12
    19.5800        20
    19.6000        12
    19.6200        16
    19.6400        14
    19.6600        12
    19.6800        16
    19.7000        16
    19.7200        18
    19.7400        12
    19.7600        14
    19.7800        14
    19.8000        10
    19.8200        16
    19.8400        14
    19.8600        14
    19.8800        12
    19.9000        12
    19.9200        10
    19.9400        20
    19.9600        12
    19.9800        10
    20.0000        14
    20.0200        14
    20.0400         6
    20.0600        16
    20.0800        14
    20.1000        12
    20.1200        12
    20.1400        12
    20.1600         8
    20.1800        10
    20.2000        10
    20.2200        16
    20.2400        18
    20.2600        12
    20.2800        14
    20.3000         8
    20.3200        14
    20.3400        14
    20.3600        16
    20.3800        14
    20.4000        10
    20.4200        10
    20.4400         8
    20.4600        14
    20.4800        16
    20.5000        12
    20.5200        14
    20.5400        10
    20.5600        10
    20.5800        16
    20.6000         8
    20.6200        12
    20.6400        14
    20.6600        14
    20.6800        12
    20.7000        18
    20.7200         8
    20.7400        12
    20.7600        18
    20.7800        12
    20.8000        10
    20.8200        12
    20.8400        14
    20.8600        22
    20.8800        16
    20.9000        12
    20.9200        18
    20.9400        10
    20.9600        18
    20.9800        16
    21.0000        20
    21.0200        12
    21.0400        16
    21.0600        14
    21.0800        14
    21.1000        12
    21.1200        12
    21.1400        12
    21.1600        12
    21.1800        16
    21.2000         8
    21.2200        14
    21.2400        14
    21.2600        20
    21.2800        10
    21.3000        10
    21.3200        14
    21.3400        14
    21.3600        16
    21.3800        12
    21.4000        10
    21.4200        12
    21.4400        20
    21.4600        12
    21.4800        12
    21.5000        16
    21.5200        14
    21.5400        12
    21.5600        10
    21.5800        12
    21.6000        10
    21.6200        10
    21.6400        10
    21.6600        16
    21.6800        14
    21.7000        14
    21.7200         6
    21.7400        12
    21.7600         6
    21.7800        14
    21.8000        12
    21.8200        12
    21.8400        12
    21.8600        12
    21.8800        14
    21.9000        20
    21.9200        16
    21.9400        18
    21.9600        14
    21.9800         4
    22.0000        12
    22.0200        14
    22.0400        18
    22.0600        12
    22.0800         8
    22.1000        16
    22.1200        12
    22.1400        18
    22.1600        14
    22.1800        12
    22.2000        14
    22.2200        12
    22.2400        18
    22.2600        16
    22.2800         8
    22.3000         8
    22.3200        12
    22.3400        10
    22.3600        14
    22.3800         8
    22.4000        14
    22.4200        14
    22.4400        20
    22.4600        12
    22.4800        12
    22.5000        24
    22.5200        10
    22.5400        14
    22.5600        18
    22.5800        12
    22.6000        12
    22.6200        12
    22.6400        10
    22.6600        12
    22.6800         6
    22.7000        12
    22.7200        20
    22.7400         8
    22.7600        12
    22.7800        16
    22.8000        12
    22.8200        10
    22.8400        14
    22.8600        10
    22.8800        14
    22.9000        12
    22.9200        12
    22.9400        16
    22.9600        10
    22.9800        18
    23.0000        16
    23.0200        12
    23.0400        12
    23.0600        12
    23.0800        12
    23.1000        10
    23.1200        12
    23.1400        16
    23.1600        10
    23.1800        10
    23.2000        10
    23.2200         4
    23.2400        16
    23.2600        16
    23.2800        10
    23.3000        18
    23.3200        14
    23.3400        12
    23.3600        12
    23.3800        12
    23.4000        14
    23.4200        12
    23.4400        12
    23.4600        10
    23.4800        12
